account_uid,total_sent,total_received,txn_count_sent,txn_count_received,unique_receivers,unique_senders,avg_sent_amount,avg_received_amount,max_sent_amount,max_received_amount,txn_per_active_day,in_degree,out_degree,degree_centrality,pagerank,in_cycle,community_size,is_fraud
ACC00028,53239.66,59076.61,16,15,16,15,3327.48,3938.44,13195.78,15290.81,1.0,15,16,0.006201,0.00011366,0,920,0
ACC00029,132380.1,91615.74,20,16,20,16,6619.01,5725.98,37083.2,37840.0,1.125,16,20,0.007201,0.00027382,1,675,1
ACC00030,133799.58,68971.11,24,20,24,19,5574.98,3448.56,33749.35,10085.9,1.1282,19,24,0.008602,0.0001771,1,500,0
ACC00031,126247.89,45283.57,19,13,19,13,6644.63,3483.35,45055.0,8032.02,1.0,13,19,0.006401,0.00013599,0,498,1
ACC00032,94150.79,189674.59,13,16,13,16,7242.37,11854.66,49856.67,54679.0,1.0741,16,13,0.005801,0.00036338,1,990,1
ACC00033,49605.04,79419.71,15,19,15,19,3307.0,4179.98,10497.43,14588.35,1.0303,19,15,0.006801,0.00020942,1,990,0
ACC00034,73477.04,30369.96,10,9,10,9,7347.7,3374.44,26935.87,8482.86,1.0,9,10,0.003801,7.926e-05,0,255,0
ACC00035,58200.41,50559.54,13,20,13,20,4476.95,2527.98,11538.27,10670.59,1.1379,20,13,0.006601,0.00015216,1,990,0
ACC00036,124484.18,128490.72,24,20,24,20,5186.84,6424.54,21127.85,41547.46,1.0476,20,24,0.008802,0.00022844,1,498,0
ACC00037,129083.1,103086.48,20,20,20,20,6454.15,5154.32,57806.2,22323.32,1.0811,20,20,0.008002,0.00027058,1,990,0
ACC00038,85441.96,104282.74,14,22,14,22,6103.0,4740.12,29731.7,16523.21,1.0588,22,14,0.007201,0.00015907,0,675,0
ACC00039,99842.75,118719.43,19,14,19,14,5254.88,8479.96,54365.0,52190.4,1.0312,14,19,0.006601,0.00028776,1,500,1
ACC00040,77334.74,90880.16,13,18,13,18,5948.83,5048.9,27227.79,14069.72,1.0,18,13,0.006201,0.00019368,0,498,0
ACC00041,97227.65,114199.42,17,14,17,14,5719.27,8157.1,20746.99,63253.72,1.0333,14,17,0.006201,0.00024642,1,990,0
ACC00042,1128743.89,70216.09,28,25,18,25,40312.28,2808.64,97547.0,10061.26,1.325,25,18,0.008602,0.00015154,0,990,1
ACC00043,85679.24,128192.58,15,16,15,16,5711.95,8012.04,24914.71,52790.3,1.1071,16,15,0.006201,0.00053502,1,675,0
ACC00044,69406.42,99552.33,11,22,11,22,6309.67,4525.11,17761.26,27735.19,1.0312,22,11,0.006601,0.00024088,1,498,0
ACC00045,58476.48,69381.75,12,19,12,19,4873.04,3651.67,16325.86,10677.54,1.0333,19,12,0.006201,0.00015446,1,498,0
ACC00046,807835.23,51856.26,23,14,16,14,35123.27,3704.02,96525.0,22223.59,1.2333,14,16,0.006001,0.00011256,1,498,1
ACC00047,135229.49,133218.28,16,25,16,25,8451.84,5328.73,48848.31,18389.3,1.0789,25,16,0.008202,0.00023904,0,498,0
ACC00048,57082.39,53080.84,11,15,11,15,5189.31,3538.72,31387.73,10605.0,1.0,15,11,0.005201,0.0001242,1,990,0
ACC00049,110373.56,92637.56,18,16,18,15,6131.86,5789.85,22972.78,21319.26,1.0,15,18,0.006601,0.0001539,1,920,0
ACC00050,80486.31,81365.36,12,22,12,22,6707.19,3698.43,22704.19,9596.16,1.0625,22,12,0.006801,0.00028819,1,255,0
ACC00051,94725.71,128165.53,25,15,25,15,3789.03,8544.37,26351.44,39687.96,1.0256,15,25,0.008002,0.00021159,0,664,0
ACC00052,59036.24,134589.12,11,15,11,15,5366.93,8972.61,22321.84,27333.0,1.0,15,11,0.005201,0.00024123,1,664,1
ACC00053,93060.18,60439.8,9,21,9,21,10340.02,2878.09,20820.74,9033.58,1.0714,21,9,0.006001,0.0001503,1,498,0
ACC00054,137211.44,37369.53,16,10,16,10,8575.72,3736.95,28873.89,9214.09,1.04,10,16,0.005201,7.294e-05,0,675,0
ACC00055,56049.45,53986.51,14,16,14,16,4003.53,3374.16,13089.41,8667.66,1.1111,16,14,0.006001,0.00014341,0,498,0
ACC00056,173395.07,158128.44,19,15,19,15,9126.06,10541.9,80765.0,77534.4,1.0625,15,19,0.006801,0.00037817,1,498,1
ACC00057,134368.81,60620.86,19,16,19,16,7072.04,3788.8,77484.0,11275.0,1.0294,16,19,0.007001,0.00022003,1,664,1
ACC00058,107990.43,108282.85,18,13,18,13,5999.47,8329.45,22234.32,52303.0,1.0333,13,18,0.006201,0.00013886,1,990,1
ACC00059,87550.21,51004.72,10,17,10,16,8755.02,3000.28,31164.53,10398.52,1.0,16,10,0.005201,0.00014148,0,920,0
ACC00060,181025.77,66652.18,23,13,23,13,7870.69,5127.09,37474.0,15343.22,1.0286,13,23,0.007201,0.00021687,0,920,1
ACC00061,147494.4,131550.97,16,17,16,17,9218.4,7738.29,40411.08,36434.0,1.1786,17,16,0.006601,0.00024496,0,498,1
ACC00062,58519.98,97293.18,15,17,15,17,3901.33,5723.13,15001.01,31369.94,1.0323,17,15,0.006401,0.00015422,0,500,0
ACC00063,71022.2,47300.2,12,11,12,11,5918.52,4300.02,24158.4,17116.52,1.0,11,12,0.004601,8.229e-05,0,920,0
ACC00064,86335.05,100181.73,21,22,21,22,4111.19,4553.72,15856.81,15269.08,1.0,22,21,0.008602,0.00022444,0,500,0
ACC00065,70104.14,83870.57,16,16,16,16,4381.51,5241.91,22484.25,24242.04,1.0323,16,16,0.006401,0.00019074,1,920,0
ACC00066,82467.93,30542.43,18,12,18,12,4581.55,2545.2,13567.01,7390.59,1.0345,12,18,0.006001,9.635e-05,1,920,0
ACC00067,128796.54,62492.05,18,15,18,15,7155.36,4166.14,29663.29,13463.1,1.0645,15,18,0.006601,0.00019353,0,990,0
ACC00068,74099.24,92597.25,14,16,14,16,5292.8,5787.33,23817.04,15542.16,1.0714,16,14,0.006001,0.00024553,1,255,0
ACC00069,120391.31,57803.4,23,16,23,16,5234.4,3612.71,19284.9,6814.09,1.0263,16,23,0.007802,0.00013345,1,990,0
ACC00070,73702.91,376866.44,14,23,14,23,5264.49,16385.5,24903.0,81840.0,1.0882,23,14,0.007401,0.00053197,1,990,1
ACC00071,47464.58,79335.29,14,21,14,21,3390.33,3777.87,8760.81,17450.06,1.0606,21,14,0.007001,0.00018162,0,990,0
ACC00072,91621.46,147311.56,12,27,12,27,7635.12,5455.98,24179.33,45740.0,1.1471,27,12,0.007802,0.00026617,0,664,1
ACC00073,55292.98,38226.48,15,9,15,9,3686.2,4247.39,13879.62,15408.47,1.0435,9,15,0.004801,0.00023857,1,255,0
ACC00074,125019.6,123953.95,27,16,27,16,4630.36,7747.12,16424.42,27953.92,1.0,16,27,0.008602,0.0002857,1,498,0
ACC00075,41271.65,62486.65,13,13,13,13,3174.74,4806.67,8608.97,32553.76,1.0833,13,13,0.005201,0.00014563,1,498,0
ACC00076,170596.31,44853.61,17,14,17,14,10035.08,3203.83,83640.0,11262.74,1.0,14,17,0.006201,0.00013096,0,664,1
ACC00077,68398.29,62366.19,21,14,21,14,3257.06,4454.73,15368.65,10203.48,1.0938,14,21,0.007001,0.00013798,1,498,0
ACC00078,139273.48,75708.26,17,17,17,17,8192.56,4453.43,53452.47,24399.14,1.0,17,17,0.006801,0.00019441,0,920,0
ACC00079,82586.54,652205.53,14,18,14,18,5899.04,36233.64,23673.19,550847.05,1.0667,18,14,0.006401,0.00091762,0,990,1
ACC00080,51533.54,101610.28,13,18,13,18,3964.12,5645.02,13722.1,29962.09,1.069,18,13,0.006201,0.00016011,0,990,0
ACC00081,102835.71,78237.85,18,16,18,16,5713.1,4889.87,23307.81,35756.0,1.0303,16,18,0.006801,0.00013084,1,498,1
ACC00082,33655.74,79684.5,8,16,8,16,4206.97,4980.28,10145.51,12739.6,1.0,16,8,0.004801,0.00017111,0,990,0
ACC00083,78768.41,82730.63,12,8,12,8,6564.03,10341.33,20460.99,43654.33,1.0526,8,12,0.004001,0.00017317,1,990,0
ACC00084,87504.81,46289.16,15,18,15,18,5833.65,2571.62,35937.0,6346.34,1.1,18,15,0.006601,0.00014222,0,990,1
ACC00085,78094.45,33577.68,17,15,17,14,4593.79,2238.51,17770.83,5110.51,1.0323,14,17,0.006201,0.00010839,1,664,0
ACC00086,45199.92,81002.54,16,15,16,15,2824.99,5400.17,12583.19,11829.57,1.069,15,16,0.006201,0.00016588,1,255,0
ACC00087,84861.11,81818.63,22,13,22,13,3857.32,6293.74,15659.79,47767.0,1.0294,13,22,0.007001,7.3e-05,0,990,1
ACC00088,118949.59,131420.77,20,24,20,24,5947.48,5475.87,44047.93,70943.0,1.0732,24,20,0.008802,0.00014052,0,920,1
ACC00089,87137.23,58153.12,19,13,19,12,4586.17,4473.32,19509.39,16498.57,1.0323,12,19,0.006201,0.00015479,1,498,0
ACC00090,153582.6,86719.1,20,13,19,13,7679.13,6670.7,33489.0,27866.71,1.0312,13,19,0.006401,0.00017388,1,990,1
ACC00091,65132.98,125884.1,10,17,10,17,6513.3,7404.95,23135.69,45165.0,1.0385,17,10,0.005401,0.00016274,1,255,1
ACC00092,71767.19,230431.98,18,20,18,20,3987.07,11521.6,11138.31,78631.0,1.1176,20,18,0.007602,0.00031624,1,664,1
ACC00093,50034.4,106172.11,14,9,14,9,3573.89,11796.9,11071.6,69588.28,1.0455,9,14,0.004601,0.00025929,0,990,0
ACC00094,70654.09,72727.24,17,13,16,13,4156.12,5594.4,24276.88,14650.43,1.0345,13,16,0.005801,0.00019448,1,675,0
ACC00095,86329.6,126239.56,15,21,15,21,5755.31,6011.41,38844.0,29085.35,1.0588,21,15,0.007201,0.0002401,0,920,1
ACC00096,800384.2,79775.99,24,13,18,13,33349.34,6136.61,97206.0,23224.71,1.2333,13,18,0.006201,0.00016468,1,664,1
ACC00097,85020.93,35646.5,19,15,19,15,4474.79,2376.43,21231.0,5756.23,1.0303,15,19,0.006801,7.717e-05,1,920,1
ACC00098,77145.9,12058.76,15,7,15,7,5143.06,1722.68,23928.13,2997.89,1.0,7,15,0.004401,5.096e-05,1,255,0
ACC00099,133066.32,61744.95,21,12,21,12,6336.49,5145.41,30827.0,14984.67,1.0,12,21,0.006601,0.00014078,1,498,0
ACC00100,63439.74,204231.57,15,19,15,19,4229.32,10749.03,21618.94,39324.9,1.0,19,15,0.006801,0.00026769,1,920,1
ACC00101,105133.01,75863.55,20,13,20,13,5256.65,5835.66,20853.1,13597.12,1.0645,13,20,0.006601,0.00013005,1,255,0
ACC00102,77564.3,57310.56,8,13,8,13,9695.54,4408.5,26048.73,18543.12,1.0,13,8,0.004201,0.00010859,0,675,0
ACC00103,84340.63,1209593.4,18,24,18,13,4685.59,50399.73,33619.19,97568.0,1.4483,13,18,0.006201,0.00036164,1,920,1
ACC00104,53971.99,49497.73,15,15,15,15,3598.13,3299.85,10778.24,8516.93,1.0345,15,15,0.006001,0.00012471,1,675,0
ACC00105,50136.3,95347.12,12,20,12,20,4178.03,4767.36,11706.3,14675.76,1.0667,20,12,0.006401,0.00024827,1,498,0
ACC00106,76493.09,27938.69,17,11,17,11,4499.59,2539.88,17051.79,4265.02,1.0,11,17,0.005601,7.098e-05,0,664,0
ACC00107,110532.76,129848.24,13,21,13,20,8502.52,6183.25,21429.89,29663.29,1.0,20,13,0.006601,0.0004016,1,498,0
ACC00108,69127.17,113227.52,21,20,21,20,3291.77,5661.38,7236.31,24328.59,1.025,20,21,0.008202,0.00025097,1,990,0
ACC00109,143430.49,52597.73,22,14,22,14,6519.57,3756.98,38139.65,18277.16,1.0286,14,22,0.007201,0.00015113,0,990,0
ACC00110,52621.56,51536.72,11,13,11,13,4783.78,3964.36,14691.67,19042.54,1.0435,13,11,0.004801,0.00011005,0,500,0
ACC00111,91551.47,50232.93,21,9,20,9,4359.59,5581.44,18070.66,37516.34,1.0,9,20,0.005801,0.00011135,1,675,0
ACC00112,150845.06,65005.6,13,15,13,15,11603.47,4333.71,63483.0,11757.88,1.037,15,13,0.005601,0.00016849,0,990,1
ACC00113,124752.27,89007.65,12,14,12,14,10396.02,6357.69,87089.0,21578.34,1.04,14,12,0.005201,0.00022508,0,255,1
ACC00114,108614.88,89507.63,16,18,16,18,6788.43,4972.65,49500.0,19701.24,1.1333,18,16,0.006801,0.00020828,1,498,1
ACC00115,77521.3,84661.61,13,10,13,10,5963.18,8466.16,18258.33,35310.43,1.0455,10,13,0.004601,0.00016055,0,500,0
ACC00116,173928.6,43666.05,21,15,21,15,8282.31,2911.07,40893.6,6963.51,1.0,15,21,0.007201,0.00012908,0,498,0
ACC00117,45773.98,78620.75,9,17,9,17,5086.0,4624.75,14524.03,26853.18,1.04,17,9,0.005201,0.0001937,0,664,0
ACC00118,81040.58,90142.98,18,15,18,15,4502.25,6009.53,12921.32,47599.0,1.0645,15,18,0.006601,0.0001168,1,664,1
ACC00119,54451.33,47762.18,14,14,14,14,3889.38,3411.58,14848.85,11199.79,1.12,14,14,0.005601,0.00012209,0,675,0
ACC00120,34891.38,115876.57,13,18,13,18,2683.95,6437.59,8417.03,36116.32,1.0,18,13,0.006201,0.00020544,1,675,0
ACC00121,70269.63,59001.13,19,13,19,13,3698.4,4538.55,11209.93,13804.35,1.0323,13,19,0.006401,0.00015053,0,920,0
ACC00122,53840.1,82283.47,17,18,17,18,3167.06,4571.3,9945.2,24738.53,1.0606,18,17,0.007001,0.00020263,1,498,0
ACC00123,155438.26,62320.57,22,12,22,12,7065.38,5193.38,39793.82,28179.15,1.0,12,22,0.006801,0.00013813,1,920,0
ACC00124,17371.27,50939.72,9,12,9,12,1930.14,4244.98,3446.11,9225.91,1.1053,12,9,0.004201,0.00011782,0,675,0
ACC00125,113513.05,723615.18,18,21,18,15,6306.28,34457.87,26514.11,98893.0,1.3,15,18,0.006601,0.00031765,0,498,1
ACC00126,98550.51,87545.28,16,14,16,14,6159.41,6253.23,38760.39,15169.3,1.0714,14,16,0.006001,0.00016109,1,675,0
ACC00127,51882.2,57979.94,11,15,11,15,4716.56,3865.33,23710.28,10866.39,1.0833,15,11,0.005201,0.00017664,1,675,0
ACC00128,140246.91,151178.01,19,19,19,19,7381.42,7956.74,72171.84,73675.42,1.0556,19,19,0.007602,0.00026867,1,255,1
ACC00129,122568.15,90765.66,23,13,23,13,5329.05,6981.97,48640.36,23375.34,1.0286,13,23,0.007201,0.00019337,1,498,0
ACC00130,36508.68,38424.71,11,14,11,14,3318.97,2744.62,6390.13,9935.65,1.087,14,11,0.005001,9.805e-05,1,664,0
ACC00131,291785.65,234768.09,11,16,11,16,26525.97,14673.01,95000.0,87769.78,1.1739,16,11,0.005401,0.00045734,1,920,1
ACC00132,46147.81,51211.79,15,11,15,11,3076.52,4655.62,8962.65,11431.57,1.04,11,15,0.005201,0.00015532,1,990,0
ACC00133,1874140.12,84005.77,37,20,20,20,50652.44,4200.29,98372.0,13203.44,1.5,20,20,0.008002,0.00017113,0,675,1
ACC00134,82638.72,71724.21,14,16,14,16,5902.77,4482.76,23256.25,10880.55,1.0345,16,14,0.006001,0.00019512,0,675,0
ACC00135,104930.59,30456.13,19,11,19,11,5522.66,2768.74,23816.74,7259.05,1.0714,11,19,0.006001,7.071e-05,1,498,0
ACC00136,185035.14,91827.69,19,12,19,12,9738.69,7652.31,75389.0,29388.1,1.069,12,19,0.006201,0.00018156,1,500,1
ACC00137,39570.25,749394.54,12,25,12,25,3297.52,29975.78,8081.55,672557.25,1.0278,25,12,0.007401,0.00094538,1,664,1
ACC00138,46634.07,38842.17,17,11,16,11,2743.18,3531.11,6549.11,8031.26,1.12,11,16,0.005401,0.00011457,0,498,0
ACC00139,110557.23,78903.75,27,16,27,16,4094.71,4931.48,35544.55,19841.5,1.0238,16,27,0.008602,0.00015348,1,990,0
ACC00140,64498.84,113821.29,19,21,19,21,3394.68,5420.06,15232.61,42695.95,1.0256,21,19,0.008002,0.00024719,1,498,0
ACC00141,227651.44,81009.15,24,15,24,15,9485.48,5400.61,84414.0,25166.39,1.0,15,24,0.007802,0.00017536,0,664,1
ACC00142,71375.82,67743.28,11,16,11,16,6488.71,4233.95,20714.53,18460.4,1.125,16,11,0.005401,0.0001531,1,664,0
ACC00143,27914.52,59445.15,10,13,10,13,2791.45,4572.7,6471.06,23783.52,1.0,13,10,0.004601,0.00014225,0,498,0
ACC00144,8423.3,86402.52,6,13,6,13,1403.88,6646.35,2471.63,23332.88,1.0,13,6,0.003801,0.00022083,0,990,0
ACC00145,121177.34,91048.4,20,21,20,21,6058.87,4335.64,39521.69,14804.24,1.0,21,20,0.008202,0.00017955,0,664,0
ACC00146,74824.96,61595.0,17,17,17,17,4401.47,3623.24,18202.36,8790.01,1.0303,17,17,0.006801,0.00017048,1,664,0
ACC00147,127245.64,140342.38,13,19,13,19,9788.13,7386.44,61574.0,36707.76,1.0323,19,13,0.006401,0.00026487,0,664,1
ACC00148,84791.02,51983.55,19,20,19,20,4462.69,2599.18,17174.54,7514.19,1.0,20,19,0.007802,0.00013229,1,990,0
ACC00149,86655.69,108329.34,14,18,14,18,6189.69,6018.3,18244.27,14630.16,1.0667,18,14,0.006401,0.00018809,1,990,0
ACC00150,74684.82,106665.56,21,20,21,20,3556.42,5333.28,10092.03,19841.03,1.0,20,21,0.008202,0.00020742,0,675,0
ACC00151,58913.56,90845.79,13,16,13,16,4531.81,5677.86,14099.97,19731.64,1.0357,16,13,0.005801,0.00025199,1,255,0
ACC00152,88015.67,69882.47,15,12,15,12,5867.71,5823.54,17193.59,40342.49,1.08,12,15,0.005401,8.836e-05,0,664,0
ACC00153,66369.71,46427.05,14,13,14,13,4740.69,3571.31,35531.85,13958.29,1.0,13,14,0.005401,0.00011321,0,500,0
ACC00154,103684.77,74900.04,22,26,22,26,4712.94,2880.77,37041.88,8767.87,1.1163,26,22,0.009602,0.00014456,1,990,0
ACC00155,84371.37,39978.54,20,13,20,13,4218.57,3075.27,17745.61,7035.59,1.0,13,20,0.006601,9.258e-05,0,990,0
ACC00156,44354.2,76181.64,15,13,15,13,2956.95,5860.13,9678.24,32271.67,1.0,13,15,0.005601,0.00014529,1,920,0
ACC00157,79690.02,59833.0,11,14,11,14,7244.55,4273.79,26688.1,10465.51,1.0417,14,11,0.005001,0.0001363,0,675,0
ACC00158,97069.55,152074.38,17,22,17,22,5709.97,6912.47,33018.97,37897.0,1.0263,22,17,0.007802,0.00040939,0,675,1
ACC00159,88657.62,62082.88,10,12,10,12,8865.76,5173.57,44797.57,15985.22,1.0,12,10,0.004401,0.00010743,0,675,0
ACC00160,112129.24,67294.24,14,15,14,15,8009.23,4486.28,42353.65,19026.69,1.0357,15,14,0.005801,0.00022642,0,990,0
ACC00161,65243.82,53490.01,11,18,11,18,5931.26,2971.67,16109.13,6861.63,1.0,18,11,0.005801,0.0001119,1,675,0
ACC00162,52908.79,85183.34,18,17,18,17,2939.38,5010.78,6697.77,14445.21,1.0294,17,18,0.007001,0.00016931,0,498,0
ACC00163,75084.54,101909.96,13,17,13,17,5775.73,5994.7,30074.96,16242.13,1.0345,17,13,0.006001,0.00023455,1,498,0
ACC00164,50248.69,108413.71,12,21,12,21,4187.39,5162.56,9172.89,31404.65,1.0312,21,12,0.006601,0.00023088,1,675,0
ACC00165,129188.87,194723.49,22,18,22,18,5872.22,10817.97,67351.55,95000.0,1.0526,18,22,0.008002,0.00032251,1,990,0
ACC00166,57881.68,50404.5,15,15,15,15,3858.78,3360.3,7886.18,15366.51,1.0714,15,15,0.006001,0.00013435,1,664,0
ACC00167,60483.33,96335.61,13,17,13,17,4652.56,5666.8,14805.77,21551.98,1.0714,17,13,0.006001,0.00035654,1,255,0
ACC00168,72556.51,38887.24,12,12,12,12,6046.38,3240.6,21960.19,7977.49,1.0435,12,12,0.004801,0.00010627,0,664,0
ACC00169,89622.53,76997.05,14,16,14,16,6401.61,4812.32,18878.65,8113.87,1.0345,16,14,0.006001,0.00015918,1,500,0
ACC00170,147110.12,92935.72,16,12,16,12,9194.38,7744.64,78238.0,45304.0,1.0,12,16,0.005601,0.00013615,0,500,1
ACC00171,120375.19,39894.44,15,13,15,13,8025.01,3068.8,34319.63,13587.5,1.0769,13,15,0.005601,0.00010971,1,664,0
ACC00172,89905.77,51725.59,17,9,17,9,5288.57,5747.29,19314.75,21177.43,1.0,9,17,0.005201,0.00018685,1,664,0
ACC00173,856455.71,58031.17,26,15,19,15,32940.6,3868.74,98776.0,12747.82,1.2812,15,19,0.006801,0.00012707,1,498,1
ACC00174,171575.34,91015.65,12,15,12,15,14297.94,6067.71,70512.0,19236.91,1.0385,15,12,0.005401,0.0002147,1,675,1
ACC00175,151442.56,165621.99,17,17,17,17,8908.39,9742.47,74405.0,48640.36,1.0625,17,17,0.006801,0.00027898,1,500,1
ACC00176,100219.34,113255.81,12,22,12,22,8351.61,5147.99,34458.24,35176.12,1.0625,22,12,0.006801,0.00022719,1,990,1
ACC00177,102024.11,78697.68,18,16,18,16,5668.01,4918.61,18848.73,31387.73,1.0,16,18,0.006801,0.00018176,1,990,0
ACC00178,85377.83,134412.82,15,13,15,13,5691.86,10339.45,37774.2,77084.0,1.0,13,15,0.005601,0.00010488,1,664,1
ACC00179,103026.27,69304.59,18,13,18,13,5723.68,5331.12,13834.85,19192.53,1.069,13,18,0.006201,0.00015253,0,255,0
ACC00180,800852.09,804160.41,19,26,19,26,42150.11,30929.25,702059.5,88822.0,1.4516,26,19,0.009002,0.00092654,1,664,1
ACC00181,57074.94,49188.89,13,9,13,9,4390.38,5465.43,13802.58,16897.76,1.0476,9,13,0.004401,0.00012312,0,990,0
ACC00182,113291.21,159763.72,17,20,17,20,6664.19,7988.19,32420.16,34175.18,1.0882,20,17,0.007401,0.00022739,1,664,1
ACC00183,33506.82,41522.71,8,15,8,15,4188.35,2768.18,20118.93,8715.82,1.0455,15,8,0.004601,0.00010814,1,990,0
ACC00184,52532.25,69259.01,19,18,19,18,2764.86,3847.72,8993.29,10133.71,1.0571,18,19,0.007401,0.00020076,0,500,0
ACC00185,58506.2,78131.99,18,18,18,18,3250.34,4340.67,6502.96,11790.04,1.0286,18,18,0.007201,0.00014384,1,990,0
ACC00186,49113.11,91494.11,18,14,18,14,2728.51,6535.29,9541.21,17944.86,1.0323,14,18,0.006401,0.00018789,0,500,0
ACC00187,64468.48,109028.32,13,15,13,15,4959.11,7268.55,11538.58,30849.39,1.12,15,13,0.005601,0.0001479,1,990,0
ACC00188,101338.24,74341.9,18,15,18,15,5629.9,4956.13,20159.26,14629.51,1.0,15,18,0.006601,0.00019441,1,500,0
ACC00189,508971.41,163556.32,22,15,22,15,23135.06,10903.75,72026.0,61101.0,1.2333,15,22,0.007401,0.00017148,1,675,1
ACC00190,60024.15,112077.88,13,16,13,16,4617.24,7004.87,20675.16,43670.44,1.0,16,13,0.005801,0.00023281,1,920,0
ACC00191,131776.81,80859.89,20,20,20,20,6588.84,4042.99,32221.45,18236.2,1.0526,20,20,0.008002,0.00016246,0,664,0
ACC00192,32106.58,38371.9,12,12,12,12,2675.55,3197.66,4988.31,5977.02,1.0435,12,12,0.004801,0.00010158,1,675,0
ACC00193,86986.25,20277.32,15,7,15,7,5799.08,2896.76,19221.16,6040.29,1.0476,7,15,0.004401,7.944e-05,0,990,0
ACC00194,76065.49,117288.42,21,18,21,18,3622.17,6516.02,13236.0,33278.0,1.0263,18,21,0.007802,0.00019762,1,675,1
ACC00195,145977.46,40245.76,17,12,17,12,8586.91,3353.81,56593.4,6340.63,1.0,12,17,0.005801,0.00023781,0,498,0
ACC00196,27682.6,85418.46,11,20,11,20,2516.6,4270.92,4202.29,15612.95,1.0333,20,11,0.006201,0.00014545,0,920,0
ACC00197,66112.77,25311.8,10,10,10,10,6611.28,2531.18,22339.55,7833.19,1.0,10,10,0.004001,7.322e-05,1,675,0
